2016-04-16 14:43:36,530 {u'conditions': [{u'train': u'14207'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 25, u'hours_before': 0}
2016-04-16 14:43:36,572 {u'conditions': [{u'train': u'12169'}, {u'class': u'CC'}, {u'quota': u'GNWL'}], u'waiting_list': 6, u'hours_before': 0}
2016-04-16 14:43:36,604 {u'conditions': [{u'train': u'16561'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:36,634 {u'conditions': [{u'train': u'15047'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 177, u'hours_before': 0}
2016-04-16 14:43:36,665 {u'conditions': [{u'train': u'11065'}, {u'class': u'SL'}, {u'quota': u'PQWL'}], u'waiting_list': 27, u'hours_before': 0}
2016-04-16 14:43:36,700 {u'conditions': [{u'train': u'17604'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 53, u'hours_before': 0}
2016-04-16 14:43:36,746 {u'conditions': [{u'train': u'12640'}, {u'class': u'2S'}, {u'quota': u'CK'}], u'waiting_list': 6, u'hours_before': 0}
2016-04-16 14:43:36,778 {u'conditions': [{u'train': u'12979'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 40, u'hours_before': 0}
2016-04-16 14:43:36,813 {u'conditions': [{u'train': u'11014'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 10, u'hours_before': 0}
2016-04-16 14:43:36,842 {u'conditions': [{u'train': u'22905'}, {u'class': u'3A'}, {u'quota': u'PQWL'}], u'waiting_list': 2, u'hours_before': 0}
2016-04-16 14:43:36,874 {u'conditions': [{u'train': u'12864'}, {u'class': u'SL'}, {u'quota': u'RLGN'}], u'waiting_list': 27, u'hours_before': 0}
2016-04-16 14:43:36,905 {u'conditions': [{u'train': u'16780'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 36, u'hours_before': 0}
2016-04-16 14:43:36,941 {u'conditions': [{u'train': u'16105'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 27, u'hours_before': 0}
2016-04-16 14:43:36,976 {u'conditions': [{u'train': u'16535'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 95, u'hours_before': 0}
2016-04-16 14:43:37,017 {u'conditions': [{u'train': u'12008'}, {u'class': u'CC'}, {u'quota': u'CK'}], u'waiting_list': 3, u'hours_before': 0}
2016-04-16 14:43:37,048 {u'conditions': [{u'train': u'11037'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 24, u'hours_before': 0}
2016-04-16 14:43:37,076 {u'conditions': [{u'train': u'11037'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 23, u'hours_before': 0}
2016-04-16 14:43:37,108 {u'conditions': [{u'train': u'12714'}, {u'class': u'CC'}, {u'quota': u'GNWL'}], u'waiting_list': 10, u'hours_before': 0}
2016-04-16 14:43:37,151 {u'conditions': [{u'train': u'12008'}, {u'class': u'CC'}, {u'quota': u'CK'}], u'waiting_list': 7, u'hours_before': 0}
2016-04-16 14:43:37,194 {u'conditions': [{u'train': u'12008'}, {u'class': u'CC'}, {u'quota': u'CK'}], u'waiting_list': 5, u'hours_before': 0}
2016-04-16 14:43:37,224 {u'conditions': [{u'train': u'11037'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 21, u'hours_before': 0}
